participant;id;trial start utc;trial end utc;time taken sec;demographic1;demographic2;demographic3;demographic4
1;;2022-04-28 11:29:36;;
2;;2022-04-28 11:42:58;;
3;;2022-04-28 11:49:31;;
4;;2022-04-28 11:52:48;2022-04-28 12:00:07;439;21;Jihomoravský;2;514324
5;;2022-04-28 11:53:21;;;65;jižní morava;1 hod;nepamatuji se
6;;2022-04-28 11:57:06;2022-04-28 12:09:31;745;65;jižní morava;1 hodinu;nepamatuji se
7;;2022-04-28 12:06:54;2022-04-28 12:39:00;1926;26;Jihomoravského;2 hodiny;448012
8;;2022-04-28 12:12:32;2022-04-28 12:39:43;1631;21;Jihomoravský;1;498765
9;;2022-04-28 12:17:42;2022-04-28 12:32:49;907;44;Jihomoravský;1;11118
10;;2022-04-28 12:33:50;2022-04-28 12:56:48;1378;48;Moravskoslezský;1–2;0000
11;;2022-04-28 12:41:29;2022-04-28 14:48:24;7615;34;Pardubický;1;111111
12;;2022-04-28 12:43:04;2022-04-28 13:03:16;1211;24;Vysočina;2;515243
13;;2022-04-28 12:52:01;;
14;;2022-04-28 12:55:39;;
15;;2022-04-28 13:03:00;2022-04-28 13:24:19;1278;21;Ústecký;2;515095
16;;2022-04-28 13:49:20;2022-04-28 14:04:17;897;24;Vysočina;10;512404
17;;2022-04-28 13:50:09;2022-04-28 14:13:41;1411;27;středočeský;1;517629
18;;2022-04-28 14:18:22;;;50;JM;15 min;1
19;;2022-04-28 14:41:10;2022-04-28 15:55:44;4473;21;Zlínský kraj;2;526799
20;;2022-04-28 14:56:49;;
21;;2022-04-28 15:13:03;2022-04-28 15:28:35;931;23;Moravskoslezský;0;483415
22;;2022-04-28 16:17:37;2022-04-28 16:29:31;713;27;Jihomoravský;1;408526
23;;2022-04-28 16:29:22;2022-04-28 16:39:07;585;25;Jihočeský;1;449825
24;;2022-04-28 17:02:51;;
25;;2022-04-28 18:08:25;2022-04-28 18:28:03;1177;41;Vysočina;2;40216
26;;2022-04-28 18:27:41;2022-04-28 18:41:05;804;29;Liberecký;2;000000
27;;2022-04-28 19:06:35;2022-04-28 19:17:48;672;20;Praha;2;526290
28;;2022-04-28 19:12:01;;;23;Jihomoravský;0.5;488747
29;;2022-04-28 20:58:54;;
30;;2022-04-29 09:15:12;2022-04-29 09:31:24;971;23;Praha;hodinu až dvě;494359
31;;2022-04-29 09:27:54;2022-04-29 14:07:30;16776;23;Liberecký;0,5;496977
32;;2022-04-29 12:58:50;2022-04-29 13:06:33;463;21;Moravskoslezský;3;498386
33;;2022-04-29 14:57:46;2022-04-29 15:11:16;809;29;Jihomoravský;1;405782
34;;2022-04-29 15:07:27;2022-04-29 15:24:51;1044;23;Jihomoravský;2;472455
35;;2022-04-29 15:13:59;2022-04-29 15:36:47;1367;20;Zlínský;1-2 hodiny;529392
36;;2022-04-29 15:27:15;2022-04-29 15:39:32;737;71;Jihomoravský;0,5;000
37;;2022-04-29 16:25:24;2022-04-29 17:06:10;2445;22;Jihomoravský kraj;2;526271
38;;2022-04-29 17:50:12;;;28;Pardubický;2;1
39;;2022-04-29 20:40:36;2022-04-29 20:54:23;827;23;Jihomoravský;2;485637
40;;2022-04-30 07:31:59;2022-04-30 08:58:58;5218;63;Jižní Morava;3;1111
41;;2022-04-30 08:12:09;2022-04-30 08:53:11;2462;19;Zlínský kraj;0,5;526840
42;;2022-04-30 13:00:56;2022-04-30 13:13:51;774;22;Jihomoravský kraj;1-2;502432
43;;2022-04-30 17:10:24;2022-04-30 17:23:46;802;32;Jihomoravský;0,5;nemám
44;;2022-04-30 18:58:20;2022-04-30 19:12:50;869;21;Jihomoravský kraj;1;511899
45;;2022-04-30 21:43:59;;
46;;2022-05-01 09:01:02;2022-05-01 10:05:29;3867;24;Vysočina;1-2 hodiny;463611
47;;2022-05-01 13:38:50;2022-05-01 13:49:11;620;40;Plzeňský;50 minut;nemám
48;;2022-05-01 21:18:26;2022-05-01 21:31:44;797;19;Moravskoslezský;2;516249
49;;2022-05-02 02:16:04;;
