materials;participant;is_test_trial;item;condition;position;question order;rating1;content
AcceptContextTask;1;no;1;ZTop;41;1;7;"*Kontext*:  Profesor Novák učí předmět, do kterého chodí bakaláři, magistři i doktorandi. Doktorandi zvládnou zkoušku téměř všichni, magistři tak z poloviny, bakaláři jen výjimečně.

*Věta*: Včerejší zkoušku u profesora Nováka nesložili žádní bakaláři."
AcceptContextTask;1;no;2;ABott;52;1;7;"*Kontext*: Za opravení pračky si za den opravář vezme 3000 Kč, někdy 5000 Kč a ve výjimečných případech 9000 Kč.

*Věta*: Včera si opravář za spravení pračky nevzal ani 3000 Kč."
AcceptContextTask;1;no;3;ATop;62;1;5;"*Kontext*: Cesta z centra na periferii taxíkem stojí 200 Kč, někdy 250 Kč a maximálně 300 Kč.

*Věta*: Včera si taxikář za cestu z centra na periférii nevzal ani 300 Kč."
AcceptContextTask;1;no;4;ZBott;56;1;4;"*Kontext*: Cesta vlakem z města do hor stojí podle toho, jestli jedete osobním vlakem, rychlíkem, případně 1. třídou zhruba 500 Kč, 700 Kč nebo až 900 Kč.

*Věta*: Včerejší cesta vlakem z města do hor nás nestála žádných 500 Kč."
AcceptContextTask;1;no;5;ZTop;46;1;4;"*Kontext*: Za knížku o historii města zaplatíš v tomhle antikvariátu 500 Kč, 1500 Kč nebo až 3000 Kč.

*Věta*: Včera jsem v tomhle antikvariátu koupil knížku o historii města a nestálo mě to žádných 3000 Kč."
AcceptContextTask;1;no;6;ABott;60;1;5;"*Kontext*: Na tuhle atrakci můžou šestileté děti v doprovodu rodičů, osmileté (pokud mají víc jak 130 cm) a desetileté bez jakýchkoliv podmínek.

*Věta*: Na tu atrakci nemůžeš, protože protože ti není ani 6 let."
AcceptContextTask;1;no;7;ATop;54;1;7;"*Kontext*: Hudební festivaly na tomhle bývalém letišti trvají 3 dny, někdy 5 dnů, ale maximum je týden.

*Věta*: Poslední festival na bývalém letišti netrval ani týden."
AcceptContextTask;1;no;8;ZBott;50;1;4;"*Kontext*: Tenhle lék pomáhá od bolesti a v závislosti na mnoha faktorech úleva trvá 4 hodiny, někdy 8 hodin a maximální doložená účinnost je 12 hodin.

*Věta*: Ten lék mi včera neulevil od bolesti na žádné 3 hodiny."
AcceptContextTask;1;no;9;ZTop;64;1;6;"*Kontext*: Na přezutí pneumatik v pneuservisu si počkáte hodinu, někdy dvě hodiny a při velkém návalu i půl dne.

*Věta*: Včerejší přezutí pneumatik v pneuservisu netrvalo žádného půl dne."
AcceptContextTask;1;no;10;ABott;48;1;7;"*Kontext*: Cesta z jednoho konce města na druhý trvá veřejnou dopravou 50 minut, někdy hodinu a půl, ale můžete to jet i 3 hodiny.

*Věta*: Dneska ráno mi cesta z jednoho konce města na druhý dopravou nezabrala ani 50 minut."
AcceptContextTask;1;no;11;ATop;58;1;6;"*Kontext*: V tomhle lese najdeš za hodinu tak 20, někdy 30 a za dobrého počasí i 50 hub.

*Věta*: Včera jsem v tomhle lese nenašel ani 50 hub."
AcceptContextTask;1;no;12;ZBott;43;1;5;"*Kontext*: Šikovný trpaslík ze vsi najde v těchhle dolech za den 1, 2 někdy i 3 diamanty.

*Věta*: Jeden šikovný trpaslík ze vsi nenašel včera v dolech žádný diamant."
AcceptContextTask;3;no;1;ATop;43;1;1;"*Kontext*: Profesor Novák učí předmět, do kterého chodí bakaláři, magistři i doktorandi. Doktorandi zvládnou zkoušku téměř všichni, magistři tak z poloviny, bakaláři jen výjimečně.

*Věta*: Včerejší zkoušku u profesora Nováka nesložili ani bakaláři."
AcceptContextTask;3;no;2;ZBott;45;1;1;"*Kontext*: Za opravení pračky si za den opravář vezme 3000 Kč, někdy 5000 Kč a ve výjimečných případech 9000 Kč.

*Věta*: Včera si opravář za spravení pračky nevzal žádných 3000 Kč."
AcceptContextTask;3;no;3;ZTop;47;1;1;"*Kontext*: Cesta z centra na periferii taxíkem stojí 200 Kč, někdy 250 Kč a maximálně 300 Kč.

*Věta*: Včera si taxikář za cestu z centra na periférii nevzal žádných 300 Kč."
AcceptContextTask;3;no;4;ABott;61;1;1;"*Kontext*: Cesta vlakem z města do hor stojí podle toho, jestli jedete osobním vlakem, rychlíkem, případně 1. třídou zhruba 500 Kč, 700 Kč nebo až 900 Kč.

*Věta*: Včerejší cesta vlakem z města do hor nás nestála ani 500 Kč."
AcceptContextTask;3;no;5;ATop;55;1;7;"*Kontext*: Za knížku o historii města zaplatíš v tomhle antikvariátu 500 Kč, 1500 Kč nebo až 3000 Kč.

*Věta*: Včera jsem v tomhle antikvariátu koupil knížku o historii města a nestálo mě to ani 3000 Kč."
AcceptContextTask;3;no;6;ZBott;51;1;1;"*Kontext*: Na tuhle atrakci můžou šestileté děti v doprovodu rodičů, osmileté (pokud mají víc jak 130 cm) a desetileté bez jakýchkoliv podmínek.

*Věta*: Na tu atrakci nemůžeš, protože protože ti není žádných 6 let."
AcceptContextTask;3;no;7;ZTop;41;1;1;"*Kontext*: Hudební festivaly na tomhle bývalém letišti trvají 3 dny, někdy 5 dnů, ale maximum je týden.

*Věta*: Poslední festival na bývalém letišti netrval žádný týden."
AcceptContextTask;3;no;8;ABott;53;1;7;"*Kontext*: Tenhle lék pomáhá od bolesti a v závislosti na mnoha faktorech úleva trvá 4 hodiny, někdy 8 hodin a maximální doložená účinnost je 12 hodin.

*Věta*: Ten lék mi včera neulevil od bolesti ani na 3 hodiny."
AcceptContextTask;3;no;9;ATop;63;1;3;"*Kontext*: Na přezutí pneumatik v pneuservisu si počkáte hodinu, někdy dvě hodiny a při velkém návalu i půl dne.

*Věta*: Včerejší přezutí pneumatik v pneuservisu netrvalo ani půl dne."
